Title,Price,Description,Condition,GenreNew,
WW II aircraft book collection,15,"For the WW II aircraft enthusiast, a collection of fifteen picture books with text describing various types aircraft of the period with fascinating historical and technical information.

Note: Many larger books, both picture and text, available. Just ask.",excellent,History,
WW II aviation books (assortment),25,"An assortment of eight books with text and illustrations covering primarily WW II aircraft with some general aviation included.

Note: Many other similar texts are available, as well. Please ask if interested.",excellent,History,
WW II aviation books (assortment),25,"An assortment of eight books with text and illustrations covering primarily WW II aircraft with some general aviation included.

Note: Many other similar texts are available, as well. Please ask if interested.",excellent,History,
People Magazines,30,"People Magazine , 8 total , 1979 , 1981 (6) , 1988 .",good,Humor & Entertainment,
Vintage TIP AND MITTEN TEACHERS EDITION BOOK 1957,37,"Vintage  Tip and Mitten teacher's edition book 1957. Rare teachers edition
In good condition - images are colorful, pages are crisp. Does have signs of age and shelf wear. Some small markings in places and check marks on the last page.
Size: 6.25"" wide (not including spiral) x 8.25"" tall. 192 pages + 64 color pages
Can meet or mail this",good,Education & Teaching,
The Mammoth Hunters - Hardbound Book - Jean Auel,3,"Hard bound Book - The Mammoth Hunters in nice shape
Earths Children series
By Jean Auel

I will wear face mask, have received both COVID shots
zzt",excellent,Fiction,
Cookbooks ($1 - $3),1,"* ""A Little Northwest Cookbook"" by Kathleen Stang hardcover cookbook, EUC - $1
* ""Tapas...Made Simple"" by Love Food hardcover cookbook, EUC - $3
* ""Celebrated Chefs, Volume 1"" by Cynthia C. Nims hardcover cookbook (recipes King County restaurants - see list below), EUC - $3

Available for masked pickup in Downtown Seattle or West Seattle:
* 4th Ave and Spring St
* California Ave SW and Fauntleroy Way SW (Morgan Junction)


""Celebrated Chefs"" recipes from the following restaurants: 
94 Stewart, Amore, Andaluca, ART Restaurant and Lounge, Assaggio, Barking Frog, Barrio, BOKA Kitchen + Bar, Branzino, Brasa, Cactus, Cafe Campagne, Campagne, Carmelita, Cellar 46, Chez Shea, Cucina De-Ra, Dinette, Enotria, Eva Restuarant, Firenze Ristorante Italiano, Icon Grill, il Bistro, Inn at Langley, Joule, La Spiga, Lark, Le Gourmand, Library Bistro, Madison Park Cage, Matt's Rotisserie & Oyster Lounge, Maximillien, Nell's, Pearl, Piatti Ristorante & Bar, Place Pigalle, Pomegrante Bistro, Ponti Seafood Grill, Poppy, Portage, Purple Cafe & Wine Bar, Queen City Grill, Ray's Boathouse, Ristorante Italianissimo, Ristorante Luciano, Rover's, Russell's, Ruth Chris Steak House, Salish Lodge & Spa, Sazerac, Seastar, Serafinea, Shuckers, Six Seven at the Edgewater, Skycity at the Needle, Spring Hill, Spur Gastropub, Szamnia's, Taste, Ten Mercer, The Georgian, The Herbfram, The Hunt Club, The Pike Pub & Brewery, Third Floor Fish Cafe, Thoa's Restaurant & Lounge, tidbit bistro, Trellis, Tulio Ristorante, Urbane and Voila.",like new,"Cookbooks, Food & Wine",
"""The Twenty-Seventh City"" by Jonathan Franzen paperback book",1,"St. Louis, Missouri, is a quietly dying river city until it hires a new police chief: a charismatic young woman from Bombay, India, named S. Jammu. No sooner has Jammu been installed, though, than the city's leading citizens become embroiled in an all-pervasive political conspiracy. A classic of contemporary fiction, The Twenty-Seventh City shows us an ordinary metropolis turned inside out, and the American Dream unraveling into terror and dark comedy.

Available for masked pickup in Downtown Seattle or West Seattle:
* 4th Ave and Spring St
* California Ave SW and Fauntleroy Way SW (Morgan Junction)",like new,Fiction,
"""Flying: Cheerleader vs. Alien. Who Will Win"" by Carrie Jones book",1,"""Flying: Cheerleader vs. Alien. Who Will Win""
By Carrie Jones
Hardcover book
Grades 10-12
Bought from the library book sale so the inside has a barcode and a sticker saying no longer library property but otherwise in EUC

Available for masked pickup in Downtown Seattle or West Seattle:
* 4th Ave and Spring St
* California Ave SW and Fauntleroy Way SW (Morgan Junction)",good,Children's Books,
"""A Time of Miracles"" by Anne-Laure Bondoux paperback book",1,"""A Time of Miracles""
By Anne-Laure Bondoux
Hardcover book
Grades 7-12
GUC

Available for masked pickup in Downtown Seattle or West Seattle:
* 4th Ave and Spring St
* California Ave SW and Fauntleroy Way SW (Morgan Junction)",good,Fiction,
"""19 Love Songs"" hardcover book by David Levithan",3,"""19 Love Songs""
Hardcover book
By David Levithan
Grades 9-12

Available for masked pickup in Downtown Seattle or West Seattle:
* 4th Ave and Spring St
* California Ave SW and Fauntleroy Way SW (Morgan Junction)",like new,Fiction,
43 Kids books,40,Delivery options available,excellent,Children's Books,
Hollywood Trivia Book,8,"Obsessed With Hollywood: Test your Knowledge of the Silver Screen
Trivia Game/Hardcover Book

With a whopping 2,500 multiple-choice questions spanning the world of film, Obsessed with HOLLYWOOD is the movie-lover's ultimate trivia experience. This sleek, compact book tests readers' knowledge on everything from unforgettable lines to obscure factoids. Chapters include Classic Films, Celebrity Icons, Academy Awards, and more; there's even a section on Guilty Pleasures those movies so bad, they're terrific. But, Obsessed with HOLLYWOOD is no average trivia book. Embedded in the package is a computerized quiz module that lets cinephiles compete against themselves or a friend. The book keeps track of how many answers each player gets right and reveals who is overdue for a trip to the video store.

This is a fun trivia book with all the questions in the little electronic gizmo that's attached as part of the book. Good question choices & easy to play.

New! Never Used! 
Makes a great gift!

New Lower Price $8 (was$10)
Original price $24.95
Sells on Amazon for $14

Save time tax & shipping
Call/text  show contact info
 for more info

Item Weight : 2.18 pounds
Hardcover : 320 pages
Grade level : 8 and up
Dimensions : 8.4 x 1.4 x 8.5""
Publisher : Chronicle Books
Reading level : 13 and up

Author Andrew J. Rausch is a film critic, author, and celebrity interviewer, as well as film producer, screenwriter, and actor",new,Humor & Entertainment,
Saint Joseph Daily Missal 1961 Genuine Moroccan Leather CATHOLICISM,50,"EXCELLENT condition on this 1961 Saint Joseph Daily Missal ‘The Official Prayers of the Catholic Church For The Celebration Of Daily Mass’ Catholic Book Publishing Co New York.  Measures 6 1/2” tall, 4” wide, 1 3/4” deep.  Hardback, genuine Moroccan leather.  1344 pages. Illustrations.  Colored ribbons.  No writing except on belongs to page. No creases, folds, nothing. Pretty rare to find in such condition.  $50 obo.  





Rare Unique Historical History Pope Prayer Pray Catholic Catholicism Christianity Christian Religion Spirituality Church God Sunday Jesus",excellent,Religion & Spirituality,
Fisher Price Sweet Dreams Night Night Princess Interactive Story Book,5,"Fisher Price Sweet Dreams Night Night Princess Interactive Story Book
Sweet first book with enchanting phrases and activities.
This sweet first book for baby is complete with enchanting phrases that play as your little one turns the pages to read along with the story. 
Hands-on activities like spinning the dial help develop baby’s fine motor skills, and reward your child with sounds and more sweet phrases for each page. 
As baby opens and closes the window, she’ll see a dreamy night sky, and a sweet princess looking back at her. 
“Peek-a-boo, Princess!”
Spin the dial for more phrases 
Peek a boo princess window activates sounds and ditties 
Helps instill an early love of reading 
Ages 6 months and up""
Batteries included
Nonsmoking no pet home
$ 5",excellent,Children's Books,
PHOTOGRAPHY & ART BOOKS,5,"All these books are collectible and are like new. (I also have lots of other books as well.) Selling estate, so all must go, and collection  and interests are varied. No computer, so please call  show contact info
 for appt.; entire household for sale. Bring friends for best prices; thanks. Visit Issy 98027 today!",excellent,"Arts, Crafts & Photography",
Southern California 4x4 Maps,30,I am selling my 4x4 maps and books for the Southern California area of the US. You pick up.,excellent,Travel,
